"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","Danilo Gallinari",3000,"Hou@Den 10:30PM ET",13.690
"SF","Al-Farouq Aminu",3000,"Dal@Det 07:30PM ET",13.772
"C","Justin Hamilton",3000,"Uta@Mia 07:30PM ET",7.318
"PF","Andrew Nicholson",3000,"Orl@Bos 07:30PM ET",4.865
"SF","Jeffery Taylor",3000,"Pho@Cha 07:00PM ET",0
"SF","Paul George",3000,"Ind@LAC 10:30PM ET",0
"SG","Toure' Murry",3000,"Uta@Mia 07:30PM ET",0
"PG","Shelvin Mack",3000,"Atl@Cle 07:00PM ET",10.688
"SG","Luigi Datome",3000,"Dal@Det 07:30PM ET",11.750
"SG","Victor Claver",3000,"Mil@Por 10:00PM ET",0
"PF","Jonas Jerebko",3000,"Dal@Det 07:30PM ET",10.050
"SG","Ian Clark",3000,"Uta@Mia 07:30PM ET",3.906
"C","Shayne Whittington",3000,"Ind@LAC 10:30PM ET",7.071
"PF","Brandon Davies",3000,"Bkn@Tor 08:00PM ET",14.613
"SG","C.J. Wilcox",3000,"Ind@LAC 10:30PM ET",5.000
"SG","John Jenkins",3000,"Atl@Cle 07:00PM ET",7.625
"PG","Erick Green",3000,"Hou@Den 10:30PM ET",6.750
"PG","Darius Morris",3000,"Bkn@Tor 08:00PM ET",0
"PF","Thomas Robinson",3000,"Mil@Por 10:00PM ET",6.361
"C","Hassan Whiteside",3000,"Uta@Mia 07:30PM ET",4.333
"PG","Jared Cunningham",3000,"Ind@LAC 10:30PM ET",3.404
"PG","Troy Daniels",3000,"Hou@Den 10:30PM ET",2.857
"C","Greg Smith",3000,"Dal@Det 07:30PM ET",2.942
"SG","Andre Dawkins",3000,"Uta@Mia 07:30PM ET",1.417
"C","Mike Muscala",3000,"Atl@Cle 07:00PM ET",11.143
"PG","C.J. McCollum",3000,"Mil@Por 10:00PM ET",9.227
"PG","Nate Wolters",3000,"Mil@Por 10:00PM ET",6.000
"PG","Matthew Dellavedova",3000,"Atl@Cle 07:00PM ET",10.850
"SG","Allen Crabbe",3000,"Mil@Por 10:00PM ET",9.279
"SG","Joe Harris",3000,"Atl@Cle 07:00PM ET",5.397
"C","Meyers Leonard",3000,"Mil@Por 10:00PM ET",8.625
"C","Alex Kirk",3000,"Atl@Cle 07:00PM ET",1.833
"SG","Will Barton",3000,"Mil@Por 10:00PM ET",5.771
